Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0019594346098";"0019594346098"),Sinclair Vegan Suede Belted Jacket,StraightFit
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0019594346098";"0019594346098"),Sinclair Vegan Suede Belted Jacket,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0019624257417";"0019624257417"),Shiny Scuba Blazer,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0059145056823";"0059145056823"),Melissa Down Puffer Jacket,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0059145058896";"0059145058896"),Laurence Sequined Down Puffer Jacket,RegularLength
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0059145067201";"0059145067201"),Heritage Joon Down Puffer Jacket,DownJacket
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0059145067362";"0059145067362"),Heritage Joon Down Puffer Jacket,DownJacket
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0105160115639";"0105160115639"),Saige Blazer,Coat
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0105160115639";"0105160115639"),Saige Blazer,Trench
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-CoatsJackets-5-rasa/0190375474527";"0190375474527"),Acorn Waxed Cotton Jacket,Coat
