Product Link,Product Name,Visual Value
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019277263315";"0019277263315"),Harmony Chainmail Slip Dress,Square
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594233961";"0019594233961"),Ophelia Cotton Fit & Flare Minidress,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594234111";"0019594234111"),Imogen Cotton Cut-Out Midi-Dress,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594234111";"0019594234111"),Imogen Cotton Cut-Out Midi-Dress,VNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594239956";"0019594239956"),Suri Paisley Cotton Tie-Waist Minidress,Shirt
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594250654";"0019594250654"),Imogen Paisley Cotton Maxi Dress,Square
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594279952";"0019594279952"),Leia Flutter-Sleeve Maxi Dress,Square
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594280354";"0019594280354"),Chiara Smocked Puff-Sleeve Midi Dress,ThreeQuarterSleeves
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594281405";"0019594281405"),Esme Striped Maxi Dress,Square
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594284352";"0019594284352"),Sonnet Shirred Minidress,Square
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594284703";"0019594284703"),Etta Rope-Belt Maxi Dress,BoatNeck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594284703";"0019594284703"),Etta Rope-Belt Maxi Dress,Midi
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594287605";"0019594287605"),Arly Tie-Front Shirtdress,StraightFit
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594287759";"0019594287759"),Maggie Halter Maxi Dress,StraightFit
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594287803";"0019594287803"),Maggie Halter Maxi Dress,StraightFit
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594288657";"0019594288657"),Freya Tiered Cotton Midi Dress,Square
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594293392";"0019594293392"),Flynn Pleated Maxi Dress,Roundneck
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594293897";"0019594293897"),Boden Midi Dress,ALine
=HYPERLINK("https://pim-maestro-v2-dev.app-play.salesfloor.net/product-inventory-management/Saks-Dresses-5-rasa/0019594293897";"0019594293897"),Boden Midi Dress,Mini
